Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Kevin Turgeon	LW	Lew	30	1	2	3	0	26	0	0	0	0	18	18	0	0	0	0	0	0	0	0	0.0	1	1	100.0	0.1	0.87
Ryan Lehr	D	BaC	47	1	2	3	-10	80	0	0	0	0	39	39	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.06	1.7
Nathan Veinot	D	Cap	51	1	2	3	1	127	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0.0	3	1	33.3	0.06	2.49
Cody Doucette	C	Mon	60	1	2	3	-14	196	0	0	0	0	33	33	0	0	1	0	0	0	0	0	0.0	167	70	41.9	0.05	3.27
Maxime Cotnoir	C	Rou	17	0	3	3	-2	14	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0.0	30	11	36.7	0.18	0.82
Guillaume Chicoine	D	VdO	25	0	3	3	-8	0	0	3	0	0	27	27	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.12	0.0
Martin Frechette	D	Gat	25	0	3	3	15	23	0	0	0	0	15	15	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.12	0.92
Gabriel Bouthillette	G	Gat	27	0	3	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.11	0.0
Frederic Gariepy	D	BaC	45	0	3	3	-10	17	0	1	0	0	13	13	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.07	0.38
David Tremblay	G	Gat	47	0	3	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.06	0.17
Martin Houle	G	Cap	51	0	3	3	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.06	0.18
Maxime Daigneault	G	VdO	57	0	3	3	0	12	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.05	0.21
Nicolas Leduc	D	Bat	57	0	3	3	-15	36	0	0	0	0	30	30	0	0	0	0	0	0	0	0	0.0	1	1	100.0	0.05	0.63
Gabriel Houde-Brisson	D	Dru	58	0	3	3	-5	30	0	0	0	0	17	17	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.05	0.52
Travis Mealy	D	Lew	64	0	3	3	-14	87	0	1	0	0	93	93	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.05	1.36
Benoit Piche	RW	VdO	65	0	3	3	-5	186	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0.0	11	2	18.2	0.05	2.86
Francis Pare	C	Sha	5	2	0	2	1	2	0	0	0	0	5	5	1	0	1	0	0	0	0	0	0.0	33	18	54.5	0.4	0.4
Jonathan Laberge	C	Sha	10	1	1	2	1	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0.0	19	8	42.1	0.2	0.0
Jason Oreskovic	LW	Rou	11	1	1	2	-1	42	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.18	3.82
Steve Tilley	D	PEI	24	1	1	2	-3	59	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0.0	8	4	50.0	0.08	2.46
Maxime Cuerrier	D	Bat	35	1	1	2	-13	22	1	0	0	0	17	17	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.06	0.63
Steve Bellefleur	C	Sha	39	1	1	2	-8	4	0	0	0	0	18	18	0	0	0	0	0	0	0	0	0.0	11	4	36.4	0.05	0.1
Etienne Grandmont	RW	VdO	49	1	1	2	0	63	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0.0	174	88	50.6	0.04	1.29
Jean-Francois Brault	D	Hal	56	1	1	2	-10	41	0	0	0	0	31	31	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.04	0.73
Connor MacDonald	D	PEI	8	0	2	2	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	0.63
Marc-Andre Fleury	G	Cap	10	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	0.0
Guillaume Coulonval	LW	PEI	22	0	2	2	-5	12	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0.0	8	4	50.0	0.09	0.55
Kevin Lacombe	D	Dru	24	0	2	2	7	32	0	0	0	0	19	19	0	0	0	0	0	0	0	0	0.0	1	1	100.0	0.08	1.33
Rene George	C	Chi	25	0	2	2	-2	8	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0.0	151	50	33.1	0.08	0.32
